transaction_id,transaction_date,customer_id,customer_gender,customer_age_group,customer_segment,product_id,product_name,category,brand,quantity,unit_price,discount_pct,sales_amount,payment_method,sales_channel,region
T0000046,2025-03-28,C018078,Other,45-54,New,P1021,Jeans,Clothing,Brand 3,1,307.87,5,292.48,Credit Card,Online,South
T0000047,2024-02-06,C012099,Other,55+,Returning,P1070,Storage Box,Home,Brand 1,2,493.51,0,987.02,PayPal,Online,North
T0000048,2025-01-08,C001308,Female,25-34,Returning,P1040,Coffee,Groceries,Brand 1,2,222.88,0,445.76,Credit Card,In-Store,Central
T0000049,2025-02-20,C020338,Other,25-34,Returning,P1114,Notebook,Books,Brand 3,1,405.02,10,364.52,Debit Card,Online,West
T0000050,2024-07-02,C024136,Female,45-54,Returning,P1004,Headphones,Electronics,Brand 1,2,301.34,15,512.28,Cash,Online,North
T0000051,2024-02-09,C015424,Male,25-34,VIP,P1049,Moisturizer,Beauty,Brand 1,2,275.62,0,551.24,Cash,In-Store,South
T0000052,2024-01-25,C021628,Male,45-54,Loyal,P1029,Sneakers,Clothing,Brand 2,1,298.25,0,298.25,Cash,Online,East
T0000053,2025-10-18,C016693,Female,55+,Loyal,P1045,Cereal,Groceries,Brand 3,1,133.1,0,133.1,Credit Card,Online,East
T0000054,2025-08-17,C008699,Male,18-24,VIP,P1023,Jacket,Clothing,Brand 2,5,149.61,0,748.05,Cash,Mobile App,East
T0000055,2025-09-12,C016759,Male,45-54,Returning,P1056,Perfume,Beauty,Brand 2,3,461.33,5,1314.79,Cash,Online,West
T0000056,2025-06-16,C017644,Other,25-34,Loyal,P1001,Smartphone,Electronics,Brand 1,2,190.4,0,380.8,PayPal,Online,East
T0000057,2024-11-17,C021738,Male,35-44,Loyal,P1080,Football,Sports,Brand 2,1,62.36,0,62.36,PayPal,In-Store,West
T0000058,2024-10-29,C018167,Male,25-34,VIP,P1090,Water Bottle,Sports,Brand 3,1,238.75,10,214.88,PayPal,Mobile App,South
T0000059,2025-08-05,C009862,Female,55+,New,P1079,Football,Sports,Brand 1,1,182.44,0,182.44,Cash,In-Store,South
T0000060,2025-08-16,C019880,Other,35-44,VIP,P1056,Perfume,Beauty,Brand 2,2,461.33,0,922.66,PayPal,In-Store,South
T0000061,2025-04-29,C024116,Male,18-24,Loyal,P1066,Lamp,Home,Brand 3,4,273.63,25,820.89,Gift Card,Mobile App,Central
T0000062,2024-04-05,C024614,Male,35-44,Returning,P1043,Cereal,Groceries,Brand 1,3,22.02,0,66.06,Debit Card,Online,North
T0000063,2024-09-07,C015570,Other,18-24,VIP,P1006,Headphones,Electronics,Brand 3,1,82.22,20,65.78,PayPal,Mobile App,Central
T0000064,2025-12-14,C012583,Female,45-54,Returning,P1025,Dress,Clothing,Brand 1,1,230.75,25,173.06,Debit Card,Mobile App,North
T0000065,2024-04-19,C013932,Male,25-34,VIP,P1115,Textbook,Books,Brand 1,4,318.53,15,1083.0,Credit Card,Mobile App,South
T0000066,2024-05-04,C014958,Male,45-54,Loyal,P1118,Children Book,Books,Brand 1,1,97.35,0,97.35,PayPal,Mobile App,Central
T0000067,2025-07-15,C014612,Male,45-54,VIP,P1055,Perfume,Beauty,Brand 1,3,300.96,0,902.88,Cash,Online,East
T0000068,2025-06-17,C015880,Other,25-34,Loyal,P1099,Board Game,Toys,Brand 3,1,17.58,0,17.58,PayPal,Online,East
T0000069,2024-10-05,C011006,Female,55+,New,P1031,Milk,Groceries,Brand 1,4,305.73,5,1161.77,Debit Card,Online,South
T0000070,2025-12-11,C005008,Other,25-34,New,P1050,Moisturizer,Beauty,Brand 2,1,96.5,0,96.5,PayPal,In-Store,East
T0000071,2025-04-22,C013625,Male,25-34,VIP,P1070,Storage Box,Home,Brand 1,2,493.51,30,690.91,PayPal,Mobile App,North
T0000072,2025-08-12,C012465,Female,18-24,Loyal,P1110,Cookbook,Books,Brand 2,1,43.11,0,43.11,Cash,In-Store,West
T0000073,2025-07-13,C019768,Male,45-54,Returning,P1069,Cookware Set,Home,Brand 3,3,41.9,10,113.13,Cash,In-Store,West
T0000074,2025-02-02,C011015,Other,45-54,Returning,P1004,Headphones,Electronics,Brand 1,2,301.34,10,542.41,PayPal,Online,Central
T0000075,2024-01-28,C012912,Other,55+,New,P1069,Cookware Set,Home,Brand 3,1,41.9,0,41.9,Credit Card,Mobile App,West
T0000076,2025-04-17,C005955,Male,35-44,VIP,P1018,T-Shirt,Clothing,Brand 3,2,264.75,15,450.07,Cash,Online,West
T0000077,2024-12-11,C024944,Female,35-44,VIP,P1042,Coffee,Groceries,Brand 3,3,250.11,20,600.26,Cash,Online,West
T0000078,2025-07-06,C001707,Female,25-34,New,P1003,Smartphone,Electronics,Brand 3,1,367.34,0,367.34,Credit Card,Online,South
T0000079,2024-01-21,C020360,Male,25-34,Returning,P1026,Dress,Clothing,Brand 2,2,393.66,5,747.95,PayPal,Mobile App,North
T0000080,2024-08-11,C015239,Other,35-44,Loyal,P1073,Towel,Home,Brand 1,2,7.73,10,13.91,Debit Card,Mobile App,Central
T0000081,2024-04-27,C005367,Female,18-24,New,P1096,Toy Car,Toys,Brand 3,3,249.43,0,748.29,Cash,Mobile App,West
T0000082,2024-07-22,C002491,Other,25-34,New,P1051,Moisturizer,Beauty,Brand 3,1,484.94,0,484.94,Cash,Mobile App,Central
T0000083,2024-05-03,C018545,Male,35-44,VIP,P1104,Building Blocks,Toys,Brand 2,1,256.74,0,256.74,Cash,Online,Central
T0000084,2024-12-15,C000415,Female,45-54,New,P1083,Dumbbells,Sports,Brand 2,1,168.79,0,168.79,PayPal,In-Store,West
T0000085,2024-06-05,C014271,Male,55+,Loyal,P1091,Puzzle,Toys,Brand 1,1,64.2,0,64.2,Gift Card,Mobile App,West
T0000086,2025-03-22,C023955,Other,35-44,Loyal,P1060,Sunscreen,Beauty,Brand 3,1,166.04,0,166.04,Debit Card,Online,East
T0000087,2025-04-06,C007991,Female,55+,VIP,P1113,Notebook,Books,Brand 2,2,465.2,0,930.4,Cash,Online,West
T0000088,2024-11-28,C005959,Female,25-34,Loyal,P1109,Cookbook,Books,Brand 1,1,118.26,0,118.26,Cash,In-Store,East
T0000089,2025-09-02,C022977,Female,55+,New,P1113,Notebook,Books,Brand 2,2,465.2,0,930.4,Gift Card,Online,North
T0000090,2025-02-20,C016010,Other,25-34,VIP,P1031,Milk,Groceries,Brand 1,2,305.73,0,611.46,PayPal,In-Store,North
T0000091,2024-10-28,C007262,Female,25-34,Loyal,P1012,Smartwatch,Electronics,Brand 3,1,485.11,0,485.11,Gift Card,In-Store,West
T0000092,2025-06-27,C011265,Female,55+,Loyal,P1071,Storage Box,Home,Brand 2,1,387.26,5,367.9,Cash,Mobile App,West
T0000093,2024-11-09,C008238,Male,18-24,Returning,P1035,Bread,Groceries,Brand 2,2,482.99,25,724.49,Cash,Online,Central
T0000094,2025-12-07,C006067,Male,25-34,VIP,P1098,Board Game,Toys,Brand 2,1,216.63,0,216.63,Cash,Mobile App,Central
T0000095,2025-06-21,C019556,Female,18-24,Returning,P1098,Board Game,Toys,Brand 2,2,216.63,0,433.26,Cash,Online,East
T0000096,2024-11-05,C000464,Other,55+,Returning,P1023,Jacket,Clothing,Brand 2,1,149.61,0,149.61,Cash,Online,North
T0000097,2024-10-26,C022853,Male,45-54,New,P1071,Storage Box,Home,Brand 2,1,387.26,25,290.44,Credit Card,Mobile App,East
T0000098,2025-05-05,C014434,Female,25-34,New,P1061,Bedsheet,Home,Brand 1,2,197.4,5,375.06,Cash,In-Store,North
T0000099,2024-03-07,C013131,Female,18-24,New,P1106,Novel,Books,Brand 1,1,128.4,0,128.4,Debit Card,Online,Central
T0000100,2024-03-28,C008133,Male,55+,VIP,P1039,Rice,Groceries,Brand 3,1,343.7,0,343.7,Gift Card,Mobile App,Central
T0000101,2025-06-19,C012465,Female,45-54,Loyal,P1029,Sneakers,Clothing,Brand 2,1,298.25,10,268.43,Gift Card,In-Store,East
T0000102,2025-09-27,C001974,Other,18-24,Returning,P1073,Towel,Home,Brand 1,2,7.73,0,15.46,Debit Card,In-Store,North
T0000103,2024-09-02,C005696,Other,18-24,Returning,P1021,Jeans,Clothing,Brand 3,4,307.87,10,1108.33,Credit Card,In-Store,West
T0000104,2025-08-31,C015399,Female,18-24,Returning,P1089,Water Bottle,Sports,Brand 2,1,444.17,5,421.96,Cash,Mobile App,East
T0000105,2025-04-09,C002333,Other,25-34,Loyal,P1090,Water Bottle,Sports,Brand 3,1,238.75,0,238.75,Gift Card,Mobile App,South
T0000106,2024-04-27,C017845,Male,25-34,Loyal,P1055,Perfume,Beauty,Brand 1,1,300.96,10,270.86,Debit Card,Online,North
T0000107,2024-11-10,C019499,Other,55+,Loyal,P1022,Jacket,Clothing,Brand 1,1,74.05,0,74.05,PayPal,Online,West
T0000108,2024-11-07,C022929,Female,35-44,VIP,P1089,Water Bottle,Sports,Brand 2,1,444.17,0,444.17,PayPal,Online,Central
T0000109,2025-03-18,C024070,Female,55+,Loyal,P1006,Headphones,Electronics,Brand 3,3,82.22,10,221.99,Credit Card,Online,South
T0000110,2025-08-12,C019239,Male,35-44,New,P1087,Running Shoes,Sports,Brand 3,1,366.16,0,366.16,Debit Card,In-Store,Central
T0000111,2025-03-28,C009115,Male,55+,VIP,P1084,Dumbbells,Sports,Brand 3,1,36.46,0,36.46,PayPal,Online,West
T0000112,2025-02-22,C010922,Female,18-24,Returning,P1045,Cereal,Groceries,Brand 3,1,133.1,0,133.1,Cash,In-Store,West
T0000113,2025-11-09,C013123,Other,18-24,VIP,P1037,Rice,Groceries,Brand 1,1,155.78,5,147.99,Credit Card,In-Store,East
T0000114,2024-04-28,C013245,Other,18-24,VIP,P1042,Coffee,Groceries,Brand 3,2,250.11,0,500.22,PayPal,Online,South
T0000115,2025-01-05,C020403,Female,45-54,New,P1067,Cookware Set,Home,Brand 1,1,74.76,5,71.02,Debit Card,In-Store,Central
T0000116,2024-10-21,C014357,Other,45-54,New,P1017,T-Shirt,Clothing,Brand 2,1,155.6,15,132.26,Credit Card,Mobile App,Central
T0000117,2024-09-02,C023259,Male,35-44,New,P1103,Building Blocks,Toys,Brand 1,2,160.61,0,321.22,Gift Card,In-Store,North
T0000118,2024-04-26,C015121,Male,25-34,VIP,P1029,Sneakers,Clothing,Brand 2,1,298.25,5,283.34,Cash,Mobile App,East
T0000119,2025-05-09,C015474,Male,45-54,Returning,P1054,Lipstick,Beauty,Brand 3,1,447.94,0,447.94,PayPal,Online,Central
T0000120,2024-05-19,C002288,Female,45-54,Loyal,P1066,Lamp,Home,Brand 3,4,273.63,0,1094.52,Gift Card,In-Store,North
T0000121,2024-11-01,C019233,Other,45-54,Returning,P1037,Rice,Groceries,Brand 1,1,155.78,5,147.99,PayPal,Mobile App,West
T0000122,2024-12-06,C018086,Other,45-54,VIP,P1045,Cereal,Groceries,Brand 3,1,133.1,0,133.1,Cash,Online,South
T0000123,2025-01-27,C007654,Female,18-24,Loyal,P1074,Towel,Home,Brand 2,4,408.65,0,1634.6,PayPal,Mobile App,West
T0000124,2025-11-10,C021366,Male,45-54,New,P1050,Moisturizer,Beauty,Brand 2,4,96.5,20,308.8,Debit Card,Mobile App,Central
T0000125,2024-04-12,C014428,Male,55+,VIP,P1043,Cereal,Groceries,Brand 1,1,22.02,0,22.02,Credit Card,Mobile App,South
T0000126,2025-11-01,C005059,Male,45-54,Loyal,P1053,Lipstick,Beauty,Brand 2,1,470.05,0,470.05,Cash,Mobile App,West
T0000127,2024-03-23,C010767,Other,55+,VIP,P1084,Dumbbells,Sports,Brand 3,1,36.46,5,34.64,Cash,Mobile App,West
T0000128,2025-07-08,C001177,Other,18-24,Returning,P1112,Notebook,Books,Brand 1,1,84.8,0,84.8,Cash,Online,North
T0000129,2024-04-10,C024916,Other,18-24,VIP,P1056,Perfume,Beauty,Brand 2,2,461.33,0,922.66,Debit Card,Mobile App,East
T0000130,2024-01-30,C001508,Female,18-24,Loyal,P1116,Textbook,Books,Brand 2,2,436.37,0,872.74,Cash,In-Store,West
T0000131,2024-09-07,C017406,Female,55+,Returning,P1019,Jeans,Clothing,Brand 1,1,218.81,5,207.87,Debit Card,Online,North
T0000132,2025-01-26,C020307,Other,25-34,VIP,P1079,Football,Sports,Brand 1,2,182.44,15,310.15,Gift Card,Online,South
T0000133,2025-10-15,C008323,Female,35-44,New,P1060,Sunscreen,Beauty,Brand 3,2,166.04,15,282.27,PayPal,In-Store,Central
T0000134,2024-03-16,C014475,Female,55+,Loyal,P1021,Jeans,Clothing,Brand 3,1,307.87,0,307.87,PayPal,Mobile App,East
T0000135,2024-11-05,C006528,Female,45-54,New,P1059,Sunscreen,Beauty,Brand 2,2,27.39,15,46.56,Debit Card,In-Store,Central
T0000136,2025-08-11,C009696,Other,35-44,New,P1046,Shampoo,Beauty,Brand 1,5,332.95,0,1664.75,PayPal,In-Store,North
T0000137,2025-12-03,C024402,Male,55+,VIP,P1073,Towel,Home,Brand 1,1,7.73,10,6.96,Cash,Online,Central
T0000138,2024-12-26,C007177,Other,25-34,Loyal,P1103,Building Blocks,Toys,Brand 1,1,160.61,20,128.49,Debit Card,Mobile App,North
T0000139,2025-10-04,C021180,Male,35-44,VIP,P1116,Textbook,Books,Brand 2,3,436.37,0,1309.11,Credit Card,Mobile App,East
T0000140,2024-05-14,C002954,Female,35-44,VIP,P1094,Toy Car,Toys,Brand 1,2,282.83,10,509.09,Debit Card,Online,South
T0000141,2025-07-06,C011989,Other,55+,Loyal,P1101,Doll,Toys,Brand 2,1,20.56,20,16.45,Debit Card,In-Store,West
T0000142,2024-10-29,C024464,Female,18-24,VIP,P1104,Building Blocks,Toys,Brand 2,1,256.74,15,218.23,Credit Card,Online,South
T0000143,2025-11-23,C023732,Other,45-54,Loyal,P1111,Cookbook,Books,Brand 3,1,148.43,20,118.74,Credit Card,In-Store,North
T0000144,2025-07-03,C004050,Female,35-44,Loyal,P1034,Bread,Groceries,Brand 1,1,474.7,0,474.7,Gift Card,In-Store,East
T0000145,2025-11-22,C007662,Female,18-24,Loyal,P1014,Bluetooth Speaker,Electronics,Brand 2,3,110.11,0,330.33,Gift Card,Online,North
T0000146,2025-04-20,C022973,Female,45-54,New,P1082,Dumbbells,Sports,Brand 1,1,313.53,25,235.15,Debit Card,Online,North
T0000147,2025-05-19,C003806,Male,25-34,Returning,P1039,Rice,Groceries,Brand 3,4,343.7,0,1374.8,PayPal,In-Store,East
T0000148,2025-12-14,C017702,Female,55+,Returning,P1086,Running Shoes,Sports,Brand 2,2,165.97,0,331.94,PayPal,Mobile App,North
T0000149,2025-05-16,C020174,Female,35-44,New,P1107,Novel,Books,Brand 2,1,208.14,0,208.14,Cash,Online,West
T0000150,2024-08-29,C011885,Male,35-44,Loyal,P1057,Perfume,Beauty,Brand 3,2,48.8,10,87.84,Credit Card,In-Store,East
T0000151,2024-05-05,C014901,Male,25-34,New,P1025,Dress,Clothing,Brand 1,2,230.75,10,415.35,Credit Card,In-Store,South
T0000152,2025-08-01,C006725,Male,55+,Returning,P1017,T-Shirt,Clothing,Brand 2,1,155.6,0,155.6,Gift Card,Online,South
T0000153,2024-05-31,C019530,Male,35-44,Returning,P1043,Cereal,Groceries,Brand 1,1,22.02,0,22.02,Debit Card,Mobile App,East
T0000154,2024-06-27,C003603,Other,18-24,Returning,P1103,Building Blocks,Toys,Brand 1,1,160.61,20,128.49,Credit Card,In-Store,South
T0000155,2024-11-27,C000518,Male,35-44,New,P1076,Yoga Mat,Sports,Brand 1,1,365.86,0,365.86,Debit Card,Mobile App,West
T0000156,2024-04-26,C024434,Male,45-54,VIP,P1068,Cookware Set,Home,Brand 2,1,402.09,10,361.88,Cash,Mobile App,Central
T0000157,2025-04-07,C016510,Male,55+,New,P1014,Bluetooth Speaker,Electronics,Brand 2,2,110.11,0,220.22,Gift Card,In-Store,West
T0000158,2024-02-01,C001994,Female,45-54,VIP,P1083,Dumbbells,Sports,Brand 2,1,168.79,10,151.91,Credit Card,In-Store,West
T0000159,2024-03-23,C010555,Other,25-34,New,P1010,Smartwatch,Electronics,Brand 1,1,355.5,15,302.18,Debit Card,In-Store,Central
T0000160,2025-08-22,C017969,Other,35-44,VIP,P1082,Dumbbells,Sports,Brand 1,2,313.53,0,627.06,Gift Card,Mobile App,East
T0000161,2025-06-01,C019839,Female,18-24,New,P1059,Sunscreen,Beauty,Brand 2,1,27.39,30,19.17,Gift Card,Mobile App,South
T0000162,2025-04-07,C007488,Female,35-44,VIP,P1056,Perfume,Beauty,Brand 2,1,461.33,0,461.33,PayPal,In-Store,North
T0000163,2025-03-13,C010241,Other,35-44,Loyal,P1041,Coffee,Groceries,Brand 2,2,65.41,25,98.11,Debit Card,Mobile App,West
T0000164,2024-04-03,C002798,Male,45-54,New,P1009,Laptop,Electronics,Brand 3,5,302.55,10,1361.48,Cash,Online,Central
T0000165,2025-08-23,C018403,Other,35-44,New,P1008,Laptop,Electronics,Brand 2,1,433.76,0,433.76,PayPal,In-Store,West
T0000166,2024-02-22,C009426,Other,35-44,Loyal,P1112,Notebook,Books,Brand 1,2,84.8,0,169.6,Credit Card,Mobile App,Central
T0000167,2024-06-07,C021520,Female,25-34,New,P1028,Sneakers,Clothing,Brand 1,1,259.55,20,207.64,Cash,Mobile App,East
T0000168,2024-10-12,C018813,Male,45-54,New,P1015,Bluetooth Speaker,Electronics,Brand 3,1,95.0,0,95.0,Gift Card,Mobile App,East
T0000169,2024-07-03,C008955,Other,35-44,Loyal,P1004,Headphones,Electronics,Brand 1,1,301.34,0,301.34,Cash,Online,South
T0000170,2024-05-26,C018558,Other,45-54,New,P1112,Notebook,Books,Brand 1,1,84.8,0,84.8,Debit Card,Mobile App,North
T0000171,2025-06-27,C007050,Female,45-54,VIP,P1012,Smartwatch,Electronics,Brand 3,1,485.11,5,460.85,Cash,Online,East
T0000172,2024-11-28,C018599,Other,18-24,New,P1040,Coffee,Groceries,Brand 1,2,222.88,0,445.76,Debit Card,Online,Central
T0000173,2025-11-21,C002674,Female,45-54,VIP,P1007,Laptop,Electronics,Brand 1,4,33.75,0,135.0,PayPal,Mobile App,West
T0000174,2024-10-06,C007064,Other,18-24,Loyal,P1054,Lipstick,Beauty,Brand 3,1,447.94,15,380.75,PayPal,Online,East
T0000175,2025-11-25,C019436,Female,55+,Loyal,P1087,Running Shoes,Sports,Brand 3,1,366.16,25,274.62,Credit Card,Online,West
T0000176,2024-02-26,C000252,Male,35-44,Returning,P1077,Yoga Mat,Sports,Brand 2,1,386.78,25,290.08,Debit Card,In-Store,East
T0000177,2024-05-02,C000254,Female,45-54,Returning,P1042,Coffee,Groceries,Brand 3,1,250.11,20,200.09,Debit Card,In-Store,Central
T0000178,2024-08-23,C016393,Other,35-44,New,P1091,Puzzle,Toys,Brand 1,1,64.2,30,44.94,PayPal,Mobile App,North
T0000179,2024-01-20,C015066,Male,35-44,VIP,P1056,Perfume,Beauty,Brand 2,1,461.33,0,461.33,Gift Card,In-Store,West
T0000180,2024-04-27,C013273,Male,35-44,Returning,P1038,Rice,Groceries,Brand 2,4,53.35,0,213.4,Gift Card,In-Store,East
T0000181,2025-03-23,C003469,Male,45-54,VIP,P1012,Smartwatch,Electronics,Brand 3,2,485.11,5,921.71,Gift Card,Online,West
T0000182,2024-11-13,C024439,Female,25-34,Loyal,P1112,Notebook,Books,Brand 1,1,84.8,5,80.56,Debit Card,Online,Central
T0000183,2024-04-26,C017387,Other,25-34,Loyal,P1082,Dumbbells,Sports,Brand 1,1,313.53,20,250.82,Cash,Mobile App,South
T0000184,2024-04-15,C004799,Female,25-34,Returning,P1031,Milk,Groceries,Brand 1,1,305.73,0,305.73,Gift Card,Online,North
T0000185,2025-10-05,C016192,Female,55+,VIP,P1023,Jacket,Clothing,Brand 2,4,149.61,20,478.75,Gift Card,Mobile App,Central
T0000186,2025-10-04,C010360,Male,45-54,New,P1042,Coffee,Groceries,Brand 3,1,250.11,5,237.6,PayPal,In-Store,East
T0000187,2024-10-08,C019380,Male,35-44,New,P1102,Doll,Toys,Brand 3,1,320.02,0,320.02,Cash,In-Store,West
T0000188,2024-02-28,C012083,Female,18-24,New,P1005,Headphones,Electronics,Brand 2,1,82.23,0,82.23,Gift Card,Mobile App,Central
T0000189,2025-04-18,C019017,Other,18-24,VIP,P1050,Moisturizer,Beauty,Brand 2,1,96.5,0,96.5,Gift Card,Mobile App,South
T0000190,2025-09-11,C015586,Other,25-34,New,P1042,Coffee,Groceries,Brand 3,5,250.11,30,875.39,PayPal,Online,East
T0000191,2024-03-27,C016534,Other,25-34,New,P1092,Puzzle,Toys,Brand 2,2,358.06,0,716.12,Debit Card,Mobile App,West
T0000192,2025-06-20,C017130,Other,25-34,Loyal,P1057,Perfume,Beauty,Brand 3,1,48.8,15,41.48,Cash,In-Store,West
T0000193,2024-12-12,C022247,Other,18-24,Loyal,P1053,Lipstick,Beauty,Brand 2,2,470.05,0,940.1,Credit Card,In-Store,North
T0000194,2025-11-25,C012667,Female,35-44,Returning,P1072,Storage Box,Home,Brand 3,3,103.36,15,263.57,Cash,Online,Central
T0000195,2024-05-24,C011463,Female,45-54,Returning,P1085,Running Shoes,Sports,Brand 1,4,158.94,10,572.18,Gift Card,Mobile App,North
